Date,Surface_Elevation_Change,Uncertainty
1969/08/25,-20.2,3.4
1972/09/13,-21.1,2.6
1979/08/03,-20.1,4.0
1995/09/27,-17.5,2.0
2006/08/08,-10.2,2.5
2016/09/10,-2.8,0.3
2018/09/12,0.0,0.0
