Site,Easting,Northing
A,394387,6694920
AU,394241,6695331
B,394960,6697943
C,394237,6699700
EC,394614,6700380
TU,395950,6699627
la,394784,6694447
n,394823,6697085
p,394769,6696837
s,396632,6698076
t,395837,6699557
y,393355,6700306
