Year,1150.0,1250.0,1350.0,1450.0,1550.0,1650.0,1750.0,1850.0,1950.0,2050.0,2150.0,2250.0,2350.0,2450.0
2002,0.000176,0.273198,0.750712,1.170595,1.026346,1.534010,1.842808,2.665568,2.958665,2.139286,1.445913,1.045519,0.277212,0.019587
2003,0.000117,0.267872,0.751831,1.165965,1.012679,1.517301,1.835495,2.651816,2.940206,2.125999,1.445226,1.044043,0.280893,0.019660
2004,0.000059,0.262545,0.752951,1.161335,0.999012,1.500592,1.828183,2.638065,2.921748,2.112712,1.444538,1.042567,0.284574,0.019732
2005,0.000000,0.257219,0.754070,1.156705,0.985346,1.483883,1.820870,2.624313,2.903290,2.099426,1.443851,1.041091,0.288255,0.019805
2006,0.000000,0.290855,0.755804,1.158267,0.994569,1.468178,1.812998,2.580204,2.909827,2.102956,1.452332,1.032524,0.303874,0.016931
2007,0.000000,0.324492,0.757538,1.159829,1.003792,1.452473,1.805126,2.536095,2.916363,2.106486,1.460814,1.023957,0.319493,0.014057
2008,0.000000,0.318783,0.741812,1.127659,0.998699,1.441808,1.801359,2.522322,2.907266,2.107180,1.459779,1.021116,0.318614,0.015255
2009,0.000000,0.313074,0.726085,1.095490,0.993606,1.431144,1.797592,2.508548,2.898169,2.107874,1.458745,1.018276,0.317735,0.016452
2010,0.000000,0.307365,0.710359,1.063320,0.988514,1.420479,1.793826,2.494774,2.889071,2.108568,1.457711,1.015436,0.316856,0.017650
2011,0.000000,0.301656,0.694633,1.031150,0.983421,1.409815,1.790059,2.481001,2.879974,2.109262,1.456676,1.012596,0.315977,0.018847
2012,0.000000,0.295947,0.678907,0.998980,0.978328,1.399150,1.786292,2.467227,2.870877,2.109956,1.455642,1.009756,0.315098,0.020045
2013,0.000000,0.290238,0.663181,0.966811,0.973235,1.388486,1.782525,2.453453,2.861779,2.110651,1.454608,1.006916,0.314219,0.021242
2014,0.000000,0.284530,0.647455,0.934641,0.968143,1.377821,1.778758,2.439680,2.852682,2.111345,1.453573,1.004076,0.313340,0.022440
2015,0.000000,0.278821,0.631729,0.902471,0.963050,1.367157,1.774991,2.425906,2.843584,2.112039,1.452539,1.001236,0.312461,0.023637
2016,0.000000,0.273112,0.616003,0.870301,0.957957,1.356492,1.771224,2.412132,2.834487,2.112733,1.451504,0.998395,0.311582,0.024835
2017,0.000000,0.246598,0.603806,0.837159,0.955356,1.354980,1.765781,2.399245,2.830442,2.114027,1.449690,0.997825,0.311471,0.024850
2018,0.000000,0.220084,0.591609,0.804016,0.952756,1.353468,1.760338,2.386357,2.826396,2.115320,1.447875,0.997255,0.311360,0.024866
2019,0.000000,0.193570,0.579412,0.770873,0.950155,1.351956,1.754894,2.373470,2.822351,2.116613,1.446060,0.996685,0.311250,0.024882
2020,0.000000,0.167057,0.567214,0.737731,0.947555,1.350444,1.749451,2.360582,2.818305,2.117906,1.444245,0.996115,0.311139,0.024897
2021,0.000000,0.140543,0.555017,0.704588,0.944954,1.348932,1.744008,2.347695,2.814260,2.119200,1.442430,0.995545,0.311028,0.024913
2022,0.000000,0.114029,0.542820,0.671445,0.942353,1.347420,1.738564,2.334807,2.810215,2.120493,1.440615,0.994975,0.310917,0.024928
